adduser	3.113ubuntu2
libtiff4	3.9.5-2ubuntu1.4
libtiff4-dev	3.9.5-2ubuntu1.4
libtiffxx0c2	3.9.5-2ubuntu1.4
libtimedate-perl	1.2000-1
libtinfo-dev	5.9-4
libtinfo5	5.9-4
libtool	2.4.2-1ubuntu1
libudev0	175-0ubuntu9.3
libunistring0	0.9.3-5
libusb-0.1-4	2:0.1.12-20
libuuid1	2.20.1-1ubuntu3
libvorbis0a	1.3.2-1ubuntu3
libvorbisenc2	1.3.2-1ubuntu3
libvorbisfile3	1.3.2-1ubuntu3
libwagon-java	1.0.0-2ubuntu2
libwerken.xpath-java	0.9.4-14
libwind0-heimdal	1.6~git20120311.dfsg.1-2
libwmf-dev	0.2.8.4-10ubuntu1
libwmf0.2-7	0.2.8.4-10ubuntu1
libwrap0	7.6.q-21
libx11-6	2:1.4.99.1-0ubuntu2
libx11-data	2:1.4.99.1-0ubuntu2
libx11-dev	2:1.4.99.1-0ubuntu2
libx11-doc	2:1.4.99.1-0ubuntu2
libx11-xcb1	2:1.4.99.1-0ubuntu2
libxalan2-java	2.7.1-7
libxau-dev	1:1.0.6-4
libxau6	1:1.0.6-4
libxaw7	2:1.0.9-3ubuntu1
libxbean-java	3.7-4
libxcb-glx0	1.8.1-1ubuntu0.1
libxcb-render0	1.8.1-1ubuntu0.1
libxcb-render0-dev	1.8.1-1ubuntu0.1
libxcb-shape0	1.8.1-1ubuntu0.1
libxcb-shm0	1.8.1-1ubuntu0.1
libxcb-shm0-dev	1.8.1-1ubuntu0.1
libxcb-util0	0.3.8-2
libxcb1	1.8.1-1ubuntu0.1
libxcb1-dev	1.8.1-1ubuntu0.1
libxcomposite-dev	1:0.4.3-2build1
libxcomposite1	1:0.4.3-2build1
libxcursor-dev	1:1.1.12-1
libxcursor1	1:1.1.12-1
libxdamage-dev	1:1.1.3-2build1
libxdamage1	1:1.1.3-2build1
libxdmcp-dev	1:1.1.0-4
libxdmcp6	1:1.1.0-4
libxdot4	2.26.3-10ubuntu1
libxerces2-java	2.11.0-4
libxext-dev	2:1.3.0-3build1
libxext6	2:1.3.0-3build1
libxfixes-dev	1:5.0-4ubuntu4
libxfixes3	1:5.0-4ubuntu4
libxfont1	1:1.4.4-1
libxft-dev	2.2.0-3ubuntu2
libxft2	2.2.0-3ubuntu2
libxi-dev	2:1.6.0-0ubuntu2
libxi6	2:1.6.0-0ubuntu2
libxinerama-dev	2:1.1.1-3build1
libxinerama1	2:1.1.1-3build1
libxkbfile1	1:1.0.7-1ubuntu0.1
libxml-commons-external-java	1.4.01-2
libxml-commons-resolver1.1-java	1.2-7
libxml2	2.7.8.dfsg-5.1ubuntu4.4
libxml2-dev	2.7.8.dfsg-5.1ubuntu4.4
libxml2-utils	2.7.8.dfsg-5.1ubuntu4.4
libxmlgraphics-commons-java	1.4.dfsg-4ubuntu1
libxmlrpc-core-c3	1.16.33-3.1ubuntu5.1
libxmu6	2:1.1.0-3
libxmuu1	2:1.1.0-3
libxom-java	1.2.1-3
libxpm4	1:3.5.9-4
libxpp2-java	2.1.10-7
libxpp3-java	1.1.4c-2
libxrandr-dev	2:1.3.2-2ubuntu0.1
libxrandr2	2:1.3.2-2ubuntu0.1
libxrender-dev	1:0.9.6-2build1
libxrender1	1:0.9.6-2build1
libxslt1-dev	1.1.26-8ubuntu1.2
libxslt1.1	1.1.26-8ubuntu1.2
libxss1	1:1.2.1-2
libxstream-java	1.3.1-7
libxt-dev	1:1.1.1-2build1
libxt6	1:1.1.1-2build1
libxtst6	2:1.2.0-4
libxv1	2:1.0.6-2build1
libxxf86dga1	2:1.1.2-1
libxxf86vm1	1:1.1.1-2build1
libyaml-0-2	0.1.4-2
libyaml-dev	0.1.4-2
libzmq3	3.2.2+dfsg-1~travis1
linux-libc-dev	3.2.0-39.62
lksctp-tools	1.0.11+dfsg-2
locales	2.13+git20120306-3
lockfile-progs	0.1.16
login	1:4.1.4.2+svn3283-3ubuntu5.1
logrotate	3.7.8-6ubuntu5
lsb-base	4.0-0ubuntu20.2
lsb-release	4.0-0ubuntu20.2
lsof	4.81.dfsg.1-1build1
m4	1.4.16-2ubuntu1
make	3.81-8.1ubuntu1.1
makedev	2.3.1-89ubuntu2
man-db	2.6.1-2ubuntu1
manpages	3.35-0.1ubuntu1
manpages-dev	3.35-0.1ubuntu1
maven	3.0.4-2
mawk	1.3.3-17
memcached	1.4.13-0ubuntu2
mercurial	2.0.2-1ubuntu1
mercurial-common	2.0.2-1ubuntu1
mesa-common-dev	8.0.4-0ubuntu0.4
mime-support	3.51-1ubuntu1
mingw32	4.2.1.dfsg-2ubuntu1
mingw32-binutils	2.20-0.2
mingw32-runtime	3.15.2-0ubuntu1
module-init-tools	3.16-1ubuntu2
mongodb-10gen	2.4.1
mount	2.20.1-1ubuntu3
mountall	2.36.4
mtools	4.0.12-1
multiarch-support	2.15-0ubuntu10.3
mysql-client	5.5.29-0ubuntu0.12.04.2
mysql-client-5.5	5.5.29-0ubuntu0.12.04.2
mysql-client-core-5.5	5.5.29-0ubuntu0.12.04.2
mysql-common	5.5.29-0ubuntu0.12.04.2
mysql-server	5.5.29-0ubuntu0.12.04.2
mysql-server-5.5	5.5.29-0ubuntu0.12.04.2
mysql-server-core-5.5	5.5.29-0ubuntu0.12.04.2
ncurses-base	5.9-4
ncurses-bin	5.9-4
net-tools	1.60-24.1ubuntu2
netbase	4.47ubuntu1
netcat-openbsd	1.89-4ubuntu1
netpbm	2:10.0-15
ntfs-3g	1:2012.1.15AR.1-1ubuntu1.2
ntpdate	1:4.2.6.p3+dfsg-1ubuntu3.1
openjdk-6-jdk	6b27-1.12.3-0ubuntu1~12.04.1
openjdk-6-jre	6b27-1.12.3-0ubuntu1~12.04.1
openjdk-6-jre-headless	6b27-1.12.3-0ubuntu1~12.04.1
openjdk-6-jre-lib	6b27-1.12.3-0ubuntu1~12.04.1
openjdk-7-jdk	7u15-2.3.7-0ubuntu1~12.04.1
openjdk-7-jre	7u15-2.3.7-0ubuntu1~12.04.1
openjdk-7-jre-headless	7u15-2.3.7-0ubuntu1~12.04.1
openjdk-7-jre-lib	7u15-2.3.7-0ubuntu1~12.04.1
openssh-client	1:5.9p1-5ubuntu1
openssh-server	1:5.9p1-5ubuntu1
openssl	1.0.1-4ubuntu5.8
oracle-java7-installer	7u17-0~webupd8~2
passwd	1:4.1.4.2+svn3283-3ubuntu5.1
patch	2.6.1-3
perl	5.14.2-6ubuntu2.3
perl-base	5.14.2-6ubuntu2.3
perl-modules	5.14.2-6ubuntu2.3
pkg-config	0.26-1ubuntu1
plymouth	0.8.2-2ubuntu31
po-debconf	1.0.16+nmu2ubuntu1
policykit-1	0.104-1ubuntu1
policykit-1-gnome	0.105-1ubuntu3.1
postgresql	9.1+129ubuntu1
postgresql-9.1	9.1.8-0ubuntu12.04
postgresql-client	9.1+129ubuntu1
postgresql-client-9.1	9.1.8-0ubuntu12.04
postgresql-client-common	129ubuntu1
postgresql-common	129ubuntu1
postgresql-contrib	9.1+129ubuntu1
postgresql-contrib-9.1	9.1.8-0ubuntu12.04
postgresql-server-dev-9.1	9.1.8-0ubuntu12.04
postgresql-server-dev-all	129ubuntu1
powermgmt-base	1.31
procps	1:3.2.8-11ubuntu6
psmisc	22.15-2ubuntu1.1
python	2.7.3-0ubuntu2
python-apt	0.8.3ubuntu7
python-apt-common	0.8.3ubuntu7
python-aptdaemon	0.43+bzr805-0ubuntu8
python-bzrlib	2.5.1-0ubuntu2
python-chardet	2.0.1-2build1
python-configobj	4.7.2+ds-3build1
python-crypto	2.4.1-1ubuntu0.1
python-dbus	1.0.0-1ubuntu1
python-dbus-dev	1.0.0-1ubuntu1
python-debian	0.1.21ubuntu1
python-defer	1.0.2+bzr481-1
python-dev	2.7.3-0ubuntu2
python-gi	3.2.2-1~precise
python-gnupginterface	0.3.2-9.1ubuntu3
python-httplib2	0.7.2-1ubuntu2
python-keyring	0.9.2-0ubuntu0.12.04.2
python-launchpadlib	1.9.12-1
python-lazr.restfulclient	0.12.0-1ubuntu1
python-lazr.uri	1.0.3-1
python-minimal	2.7.3-0ubuntu2
python-oauth	1.0.1-3build1
python-paramiko	1.7.7.1-2
python-pkg-resources	0.6.24-1ubuntu1
python-pycurl	7.19.0-4ubuntu3
python-simplejson	2.3.2-1
python-software-properties	0.82.7.3
python-wadllib	1.3.0-2
python-zope.interface	3.6.1-1ubuntu3
python2.7	2.7.3-0ubuntu3.1
python2.7-dev	2.7.3-0ubuntu3.1
python2.7-minimal	2.7.3-0ubuntu3.1
qdbus	4:4.8.1-0ubuntu4.4
qt4-linguist-tools	4:4.8.1-0ubuntu4.4
qt4-qmake	4:4.8.1-0ubuntu4.4
rabbitmq-server	3.0.4-1
ragel	6.7-1build1
readline-common	6.2-8
redis-server	2:2.6.12-rwky1~precise
resolvconf	1.63ubuntu16
rhino	1.7R3-5
riak	1.2.1-1
rsync	3.0.9-1ubuntu1
rsyslog	5.8.6-1ubuntu8.1
ruby	4.8
ruby-mysql	2.8.2+gem2deb-1build1
ruby1.8	1.8.7.352-2ubuntu1.2
scons	2.1.0-1
sed	4.2.1-9
sensible-utils	0.0.6ubuntu2
sgml-base	1.26+nmu1ubuntu1
shared-mime-info	1.0-0ubuntu4.1
sound-theme-freedesktop	0.7.pristine-2
sqlite3	3.7.9-2ubuntu1.1
sqlite3-doc	3.7.9-2ubuntu1.1
ssh	1:5.9p1-5ubuntu1
ssl-cert	1.0.28ubuntu0.1
subversion	1.6.17dfsg-3ubuntu3
sudo	1.8.3p1-1ubuntu3.4
sysv-rc	2.88dsf-13.10ubuntu11.1
sysvinit-utils	2.88dsf-13.10ubuntu11.1
tar	1.26-4ubuntu1
ttf-dejavu-core	2.33-2ubuntu1
ttf-dejavu-extra	2.33-2ubuntu1
tzdata	2012e-0ubuntu0.12.04.1
tzdata-java	2012e-0ubuntu0.12.04.1
ubuntu-keyring	2011.11.21.1
ubuntu-minimal	1.267.1
ucf	3.0025+nmu2ubuntu1
udev	175-0ubuntu9.3
udisks	1.0.4-5ubuntu2.1
unattended-upgrades	0.76ubuntu1
unzip	6.0-4ubuntu1
upstart	1.5-0ubuntu7.2
ureadahead	0.100.0-12
util-linux	2.20.1-1ubuntu3
velocity	1.7-4
vim	2:7.3.429-2ubuntu2.1
vim-common	2:7.3.429-2ubuntu2.1
vim-runtime	2:7.3.429-2ubuntu2.1
vim-tiny	2:7.3.429-2ubuntu2.1
wget	1.13.4-2ubuntu1
whiptail	0.52.11-2ubuntu10
wwwconfig-common	0.2.2
x11-common	1:7.6+12ubuntu2
x11-utils	7.6+4ubuntu0.1
x11-xkb-utils	7.6+4
x11-xserver-utils	7.6+3
x11proto-composite-dev	1:0.4.2-2
x11proto-core-dev	7.0.22-1
x11proto-damage-dev	1:1.2.1-2
x11proto-fixes-dev	1:5.0-2ubuntu1
x11proto-input-dev	2.1.99.6-1
x11proto-kb-dev	1.0.5-2
x11proto-randr-dev	1.4.0+git20120101.is.really.1.4.0-0ubuntu1~precise1
x11proto-render-dev	2:0.11.1-2
x11proto-xext-dev	7.2.0-3
x11proto-xinerama-dev	1.2.1-2
xauth	1:1.0.6-1
xdg-utils	1.1.0~rc1-2ubuntu6
xfonts-base	1:1.0.3
xfonts-encodings	1:1.0.4-1ubuntu1
xfonts-utils	1:7.6+1
xkb-data	2.5-1ubuntu1.3
xml-core	0.13
xorg-sgml-doctools	1:1.10-1
xserver-common	2:1.11.4-0ubuntu10.12
xserver-xorg-core	2:1.11.4-0ubuntu10.12
xtrans-dev	1.2.6-2
xul-ext-ubufox	2.6-0ubuntu0.12.04.1
xvfb	2:1.11.4-0ubuntu10.12
xz-lzma	5.1.1alpha+20110809-3
xz-utils	5.1.1alpha+20110809-3
zip	3.0-4
zlib1g	1:1.2.3.4.dfsg-3ubuntu4
